Drug_ID,Gene_ID,Disease_ID
0,0,657
0,0,1201
0,0,669
6,6,4293
8,8,5185
8,8,5148
8,8,847
10,10,3502
15,14,2814
16,15,5397
18,17,765
18,17,4229
18,17,5290
18,17,1708
18,17,5087
18,17,3136
18,17,5355
9,8,5185
9,8,5148
9,8,847
19,17,765
19,17,4229
19,17,5290
19,17,1708
19,17,5087
19,17,3136
19,17,5355
9,21,3070
23,22,2101
23,22,4178
23,22,2385
23,22,4291
24,23,5421
27,26,2638
27,26,3272
27,26,5259
31,29,902
31,29,1679
31,29,2303
33,8,5185
33,8,5148
33,8,847
38,35,5260
38,35,2241
44,40,1824
51,45,5634
51,45,3146
52,46,5486
54,48,2661
54,48,4640
54,48,4966
55,17,765
55,17,4229
55,17,5290
55,17,1708
55,17,5087
55,17,3136
55,17,5355
57,50,2106
58,51,3384
58,51,3761
58,51,1205
58,51,3793
59,52,2050
60,53,3928
60,53,5211
61,45,5634
61,45,3146
62,54,2071
62,54,5365
63,21,3070
64,55,4977
65,56,2443
65,56,5586
65,56,4313
65,56,2612
65,56,5284
65,56,5661
66,57,2085
66,57,2521
66,57,4813
67,58,4237
67,58,2097
69,59,1417
69,59,1979
72,61,5630
72,61,528
72,61,5649
73,62,5101
76,65,284
76,65,415
76,65,5660
79,67,1301
81,8,5185
81,8,5148
81,8,847
83,69,2608
83,69,3880
84,48,2661
84,48,4640
84,48,4966
85,70,1637
88,73,3735
89,74,3705
92,77,5628
92,77,5484
94,78,693
94,78,2409
96,79,242
96,79,3326
96,79,914
96,79,2169
98,83,3400
100,74,3705
86,87,1121
105,89,5105
105,89,5474
107,90,4506
107,90,234
107,90,1161
107,90,5677
108,91,4492
109,92,591
111,17,765
111,17,4229
111,17,5290
111,17,1708
111,17,5087
111,17,3136
111,17,5355
113,95,1887
113,95,3857
113,95,2873
114,96,1223
114,96,2592
115,97,838
115,97,1768
115,97,943
115,97,630
116,98,2904
117,57,2085
117,57,2521
117,57,4813
119,100,3292
120,17,765
120,17,4229
120,17,5290
120,17,1708
120,17,5087
120,17,3136
120,17,5355
123,102,5266
127,105,2448
128,106,1501
134,112,1141
134,112,3721
134,112,2159
134,112,1212
135,8,5185
135,8,5148
135,8,847
99,113,3538
99,113,4420
136,17,765
136,17,4229
136,17,5290
136,17,1708
136,17,5087
136,17,3136
136,17,5355
141,118,3422
8,21,3070
30,123,2747
148,124,4630
148,124,4678
149,65,284
149,65,415
149,65,5660
150,125,271
153,55,4977
156,57,2085
156,57,2521
156,57,4813
158,130,3499
160,131,4699
160,131,5224
160,131,1353
162,125,271
165,134,3088
168,136,220
169,137,1387
170,139,1929
99,141,1128
173,142,2632
174,17,765
174,17,4229
174,17,5290
174,17,1708
174,17,5087
174,17,3136
174,17,5355
177,144,2755
177,144,2047
178,145,5356
22,155,773
40,89,5105
40,89,5474
187,74,3705
190,57,2085
190,57,2521
190,57,4813
194,159,5315
194,159,5082
194,159,1206
194,159,5207
194,159,5500
194,159,148
34,160,4277
34,160,3094
34,160,5408
34,160,2298
34,160,5023
34,160,3662
195,89,5105
195,89,5474
201,98,2904
202,162,4851
205,77,5628
205,77,5484
206,166,2004
206,166,5466
209,160,4277
209,160,3094
209,160,5408
209,160,2298
209,160,5023
209,160,3662
173,22,2101
173,22,4178
173,22,2385
173,22,4291
210,74,3705
211,17,765
211,17,4229
211,17,5290
211,17,1708
211,17,5087
211,17,3136
211,17,5355
212,168,547
213,169,5371
214,170,5002
214,170,3080
214,170,1398
215,171,2509
215,171,5061
215,171,1753
216,55,4977
217,172,5430
218,174,1455
219,56,2443
219,56,5586
219,56,4313
219,56,2612
219,56,5284
219,56,5661
222,89,5105
222,89,5474
224,177,1888
227,179,5089
227,179,315
227,179,4500
227,179,4836
227,179,3850
227,179,903
227,179,2888
227,179,290
228,166,2004
228,166,5466
230,180,2959
195,169,5371
231,67,1301
17,137,1387
232,52,2050
94,181,3243
94,181,4697
94,181,1306
94,181,445
233,17,765
233,17,4229
233,17,5290
233,17,1708
233,17,5087
233,17,3136
233,17,5355
235,183,5624
235,183,1069
79,184,3461
79,184,2729
236,185,2137
242,52,2050
244,191,2500
245,192,1739
246,193,422
250,197,2706
253,8,5185
253,8,5148
253,8,847
255,200,5383
260,17,765
260,17,4229
260,17,5290
260,17,1708
260,17,5087
260,17,3136
260,17,5355
52,206,4231
263,207,871
263,207,5051
264,17,765
264,17,4229
264,17,5290
264,17,1708
264,17,5087
264,17,3136
264,17,5355
265,208,5151
265,208,1661
267,209,1879
267,209,4419
267,209,2429
268,210,2709
269,113,3538
269,113,4420
271,212,1583
271,212,1695
271,212,2342
273,213,2471
274,100,3292
275,26,2638
275,26,3272
275,26,5259
277,56,2443
277,56,5586
277,56,4313
277,56,2612
277,56,5284
277,56,5661
278,215,3634
278,215,477
278,215,2998
278,215,1305
279,145,5356
281,181,3243
281,181,4697
281,181,1306
281,181,445
284,219,613
284,219,857
284,219,1701
284,219,867
285,57,2085
285,57,2521
285,57,4813
287,221,2432
288,21,3070
213,213,2471
289,17,765
289,17,4229
289,17,5290
289,17,1708
289,17,5087
289,17,3136
289,17,5355
292,17,765
292,17,4229
292,17,5290
292,17,1708
292,17,5087
292,17,3136
292,17,5355
296,226,1675
296,226,5396
296,226,5513
297,65,284
297,65,415
297,65,5660
299,228,2856
30,229,5173
300,230,353
301,231,3515
303,118,3422
305,233,3176
307,124,4630
307,124,4678
158,208,5151
158,208,1661
308,48,2661
308,48,4640
308,48,4966
309,183,5624
309,183,1069
317,239,2359
84,240,2831
318,241,805
318,241,3924
318,241,3618
318,241,4752
318,241,2289
318,241,4226
318,241,4326
318,241,4841
318,241,5404
318,241,5527
319,89,5105
319,89,5474
320,243,1309
320,243,2905
322,77,5628
322,77,5484
82,77,5628
82,77,5484
323,17,765
323,17,4229
323,17,5290
323,17,1708
323,17,5087
323,17,3136
323,17,5355
324,245,1386
325,118,3422
219,17,765
219,17,4229
219,17,5290
219,17,1708
219,17,5087
219,17,3136
219,17,5355
326,0,657
326,0,1201
326,0,669
327,56,2443
327,56,5586
327,56,4313
327,56,2612
327,56,5284
327,56,5661
210,48,2661
210,48,4640
210,48,4966
240,17,765
240,17,4229
240,17,5290
240,17,1708
240,17,5087
240,17,3136
240,17,5355
329,96,1223
329,96,2592
240,118,3422
330,169,5371
331,74,3705
332,17,765
332,17,4229
332,17,5290
332,17,1708
332,17,5087
332,17,3136
332,17,5355
333,246,965
334,247,2099
335,213,2471
339,65,284
339,65,415
339,65,5660
340,17,765
340,17,4229
340,17,5290
340,17,1708
340,17,5087
340,17,3136
340,17,5355
341,250,4097
341,250,5240
341,250,1055
17,251,3687
344,57,2085
344,57,2521
344,57,4813
345,57,2085
345,57,2521
345,57,4813
346,254,4775
347,92,591
348,207,871
348,207,5051
349,255,3642
351,256,1754
351,256,4038
352,124,4630
352,124,4678
185,257,3572
185,257,2823
353,0,657
353,0,1201
353,0,669
356,233,3176
357,57,2085
357,57,2521
357,57,4813
358,136,220
87,260,1867
87,260,2447
360,261,5443
361,262,5031
116,171,2509
116,171,5061
